GO_ID	D8vsD0	D11vsD8	D11vsD0	D18vsD8	D18vsD0
GO:0002682	1	1	1	3.76882776495094e-07	1
GO:0010718	1	1	1	6.98465664937761e-07	1
GO:0001837	1	1	1	9.02896434687836e-07	1
GO:0060317	1	1	1	9.50469913275259e-07	1
GO:0003198	1	1	1	1.00273501368374e-06	1
GO:0051716	1	1	1	1.02074839495371e-06	1
GO:0032675	1	1	1	1.34601700094326e-06	1
GO:0048585	1	1	1	1.48582270907783e-06	1
GO:0008201	1	1	1	1.97011808181078e-06	1
GO:0032635	1	1	1	2.09572912896071e-06	1
GO:0009605	1	1	1	2.28819501660735e-06	1.19507684721582e-09
GO:0006950	1	1	1	2.34540891147332e-06	1
GO:0051240	1	1	1	2.61252110309138e-06	1
GO:0022409	1	1	1	3.48380202372976e-06	1
GO:0085029	1	1	1	4.09664195543362e-06	1
GO:0002684	1	1	1	4.52883580407389e-06	1
GO:0019838	1	1	1	4.61916495955209e-06	1
GO:0032103	1	1	1	5.11461830600447e-06	1
GO:0110165	1	1	1	1	5.60552329808995e-13
GO:0030155	1	1	1	1	7.75280776488875e-12
GO:0051241	1	1	1	1	9.22963077205358e-12
GO:0009986	1	1	1	1	1.59940618241878e-11
GO:0048729	1	1	1	1	5.02496014075443e-11
GO:0005604	1	1	1	1	5.42398393923595e-11
GO:2000026	1	1	1	1	5.67683578058587e-11
GO:0022603	1	1	1	1	5.7808498845648e-11
GO:0060429	1	1	1	1	1.01270796556e-10
GO:0007507	1	1	1	1	1.29645116367732e-10
GO:0045785	1	1	1	1	1.32961540824949e-10
GO:0031589	1	1	1	1	1.54462232039928e-10
GO:0032101	1	1	1	1	7.44049550574043e-10
GO:0006952	1	1	1	1	9.68392699406204e-10
GO:0006955	1	1	1	1	1.1291445216085e-09
GO:0008285	1	1	1	1	1.62409221232021e-09
GO:1903034	1	1	1	1	1.95527731942681e-09
GO:0005518	1	1	1	1	2.66615502840372e-09
GO:0001655	1	1	1	1	3.49254590156794e-09
GO:0030336	1	1	1	1	3.72637184734338e-09
GO:0051094	1	1	1	1	3.8229620450813e-09
GO:0061041	1	1	1	1	4.33826117050078e-09
GO:0072001	1	1	1	1	4.95151741664281e-09
GO:0002685	1	1	1	1	5.16810683278738e-09
GO:0010033	1	1	1	1	5.92021819223695e-09
GO:0051093	1	1	1	1	7.31822941413813e-09
